,X,swadesh.english,swadesh.language,swadesh.handshape,swadesh.twohands,swadesh.handpart,swadesh.poa,swadesh.bodypart,swadesh.pmv,swadesh.mmv,swadesh.mmvrepeated,swadesh.dmvhandshape,swadesh.dmvorientation,swadesh.compound,swadesh.shape,swadesh.domhand,swadesh.ndhandshape,swadesh.chandshape,swadesh.twohandsC,swadesh.poac,swadesh.bodypartc,swadesh.pmvc,swadesh.mmvc,swadesh.mmvcrepeated,swadesh.dmvchandshape,swadesh.dmvcorientation,HScollapsed,poabodypartmerge
1,1,all,English,5,true,palm,Lateral,NA,Y_down,arc,false,true,true,false,UNDEF,right,5,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Lateral
2,2,animal,English,5_nb,true,tip,Horizontal,NA,Z_front,circular,false,false,true,false,UNDEF,right,5_nb,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
3,3,bad,English,I,false,ulnar_side,Vertical,NA,Z_front,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Vertical
4,4,because,English,L_b,false,radial_side,NA,Hand,Z_back,straight,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Hand
5,5,bird,English,L,false,back_of_palm,NA,Head,UNDEF,UNDEF,true,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Head
6,6,black,English,S_b,false,heel,NA,Head,Y_down,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y0,Head
7,7,blood,English,1,false,tip,NA,Head,Y_down,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Head
8,8,boring,English,E,false,finger_fronts,NA,Head,Z_back,straight,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
9,9,brother,English,S_b,true,heel,Lateral,NA,Z_front,straight,true,false,false,false,UNDEF,right,S_b,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y0,Lateral
10,10,bug,English,E_nb,false,tip,Horizontal,NA,Z_front,straight,false,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
